"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"bit","bit","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"bit64","bit64","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"blob","blob","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"bookdown","bookdown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.37",NA,"R (>= 3.5.0)","htmltools (>= 0.3.6), knitr (>= 1.38), rmarkdown (>= 2.14),
jquerylib, xfun (>= 0.39), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.4.0), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot, testthat
(>= 3.1.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3-28.1","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.2.0"
"brew","brew","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-10",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"brio","brio","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.4",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"broom","broom","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.5",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych, quantreg,
rmarkdown, robust, robustbase, rsample, sandwich, sp, spdep (>=
1.1), spatialreg, speedglm, spelling, survey, survival,
systemfit, testthat (>= 2.1.0), tseries, vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"broom.helpers","broom.helpers","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.14.0",NA,"R (>= 3.4)","broom (>= 0.8), cli, dplyr, labelled, lifecycle, purrr, rlang
(>= 1.0.1), stats, stringr, tibble, tidyr",NA,"betareg, biglm, biglmm, brms (>= 2.13.0), broom.mixed,
cmprsk, covr, datasets, effects, emmeans, fixest (>= 0.10.0),
forcats, gam, gee, geepack, ggplot2, ggeffects, ggstats (>=
0.2.1), glmmTMB, glue, gt, gtsummary (>= 1.6.3), knitr, lavaan,
lfe, lme4 (>= 1.1.28), logitr (>= 0.8.0), marginaleffects (>=
0.10.0), margins, MASS, mgcv, mice, multgee, nnet, ordinal,
parameters, parsnip, patchwork, plm, pscl, rmarkdown, rstanarm,
scales, spelling, survey, survival, testthat, tidycmprsk, VGAM",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"bslib","bslib","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.1",NA,"R (>= 2.10)","base64enc, cachem, grDevices, htmltools (>= 0.5.7), jquerylib
(>= 0.1.3), jsonlite, lifecycle, memoise (>= 2.0.1), mime,
rlang, sass (>= 0.4.0)",NA,"bsicons, curl, fontawesome, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (>= 1.8.0), testthat,
thematic, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ca","ca","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.71.1",NA,"R (>= 3.0.0)",NA,NA,"rgl (>= 0.64-10), vcd",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"cachem","cachem","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.8",NA,NA,"rlang, fastmap (>= 1.1.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"callr","callr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.7.3",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast, cli (>= 1.1.0), covr, mockery, ps, rprojroot,
spelling, testthat (>= 3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"car","car","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"carData","carData","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"censusxy","censusxy","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.4)","doParallel, foreach, httr, parallel, utils",NA,"covr, knitr, rmarkdown, sf, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"checkmate","checkmate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.1",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"chromote","chromote","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.2",NA,NA,"curl, fastmap, jsonlite, later (>= 1.1.0), magrittr, processx,
promises (>= 1.1.1), R6, rlang, websocket (>= 1.2.0)",NA,"showimage, testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"chron","chron","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3-61",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"clarkeTest","clarkeTest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,"R (>= 3.5.0)",NA,NA,"MASS, ordinal, nnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"class","class","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"classInt","classInt","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4-10",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"cli","cli","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.6.2",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"clock","clock","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7.0",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tzdb
(>= 0.4.0), vctrs (>= 0.6.1)","cpp11 (>= 0.4.3), tzdb (>= 0.4.0)","covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.0),
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.6","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"coda","coda","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.19-4.1",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2-19","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"collapse","collapse","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.9",NA,"R (>= 3.3.0)","Rcpp (>= 1.0.1)","Rcpp","fastverse, data.table, magrittr, kit, xts, zoo, plm, fixest,
vars, RcppArmadillo, RcppEigen, tibble, dplyr, ggplot2, scales,
microbenchmark, testthat, covr, knitr, rmarkdown",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"commonmark","commonmark","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.1",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"conflicted","conflicted","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"corpcor","corpcor","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.10",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"corrplot","corrplot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"countrycode","countrycode","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.0",NA,"R (>= 2.10)",NA,NA,"eurostat, testthat, tibble, utf8",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"cpp11","cpp11","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.7",NA,"R (>= 3.5.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"credentials","credentials","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.1",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crosstalk","crosstalk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crul","crul","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"cshapes","cshapes","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0",NA,NA,"sf, rmapshaper, sp",NA,"testthat (>= 2.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"cspp","cspp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3",NA,"R (>= 2.10), dplyr(>= 1.0.0)","stringr, readr, tidyselect, ggplot2, mapproj, rlang, haven,
purrr, csppData, ggcorrplot",NA,"knitr, rmarkdown, testthat, ggraph, igraph",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"csppData","csppData","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.61",NA,"R (>= 3.50)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"cubature","cubature","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.0",NA,NA,"Rcpp","Rcpp","testthat, knitr, mvtnorm, benchr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"curl","curl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.2.0",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"dadjoke","dadjoke","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"DAMisc","DAMisc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.2",NA,"R (>= 4.0.0)","lattice, grid, car, effects, ggplot2, MASS, nnet, splines,
xtable, boot, optiscale, AICcmodavg, latticeExtra, coda,
clarkeTest, haven, survey, janitor, tidyr, tidyselect, tibble,
magrittr, dplyr, rlang, jtools, DT, srvyr",NA,"carData, knitr, markdown, rmarkdown, rstan",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.15.0",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"datasauRus","datasauRus","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.6",NA,"R (>= 3.0.0)",NA,NA,"dplyr, ggplot2, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"dataverse","dataverse","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.13",NA,NA,"checkmate, httr, jsonlite, readr, stats, utils, xml2",NA,"covr, haven, knitr, purrr, rmarkdown, testthat, devtools,
tibble, yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"datawizard","datawizard","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.1",NA,"R (>= 3.6)","insight (>= 0.19.7), stats, utils",NA,"bayestestR, boot, brms, curl, data.table, dplyr (>= 1.0),
effectsize, emmeans, gamm4, ggplot2, gt, haven, htmltools,
httr, knitr, lme4, mediation, parameters (>= 0.20.3), poorman
(>= 0.2.6), psych, readxl, readr, rio, rmarkdown, rstanarm,
see, testthat (>= 3.2.0), tibble, tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.1",NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.1"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.0",NA,"R (>= 3.6)","blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.0), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.2.2), rmarkdown, RPostgres (>= 1.4.5), RPostgreSQL, RSQLite
(>= 2.3.1), testthat (>= 3.1.10)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"decido","decido","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 3.2.5)","Rcpp","Rcpp","covr, testthat, knitr, oz, rmarkdown, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"deldir","deldir","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0-2",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"desc","desc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"deSolve","deSolve","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.40",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
